combo_id,lambda_1,lambda_2,lambda_3,gamma,beta
32,2.6964309271681346,22.045001292856313,15.929576928689523,8.0,1.0
33,13.834454447117315,3.3048188204967874,76.14907749448753,8.0,1.0
34,26.02492819557678,75.63411375689434,30.647686738552114,8.0,1.0
35,4.971131423481177,1.2679150441230218,56.643691100340284,8.0,1.0
36,6.580206578007685,38.55744435342647,90.5321911317809,8.0,1.0
37,19.61407147042164,1.8591887159352585,19.256692882919282,8.0,1.0
38,10.632171464238137,14.779943273050362,47.27087240257486,8.0,1.0
39,3.499927602617535,6.3722837043505836,25.910408996513205,8.0,1.0
40,4.250767091697507,56.30030600054333,42.73110705761038,8.0,1.0
41,8.75679570454317,1.5638121138213066,30.189261540592305,8.0,1.0
42,16.156900459486142,16.407600906134572,81.98900262583409,8.0,1.0
43,7.990624580144165,4.075529073907472,22.395351379182763,8.0,1.0
44,5.586543030573449,10.721508569296738,36.444236879956634,8.0,1.0
45,23.165042383948382,8.343520636015946,50.9197098612901,8.0,1.0
46,12.316082305436547,27.97367004730537,18.977449310010908,8.0,1.0
47,3.029773882185941,2.4346458352968754,68.3276656179266,8.0,1.0
48,3.2697603105038455,33.90084762704788,27.262099194550167,8.0,1.0
49,13.296763736261894,2.826201663266467,39.81265309769107,8.0,1.0
50,24.999186033361124,9.888481554997586,22.869479913837026,8.0,1.0
51,6.031998448197396,7.374746411694169,86.10298725597043,8.0,1.0
52,8.649170760582324,19.06676698800877,52.89581506257144,8.0,1.0
53,17.476324064035115,4.944355923609339,36.82999072318488,8.0,1.0
54,9.479483933902449,49.710013439337224,63.35219915617585,8.0,1.0
55,4.59777217462742,1.4407666998489188,17.046342742460453,8.0,1.0
56,3.7861877679730154,12.196236400618535,73.13374426216643,8.0,1.0
57,11.50796498469031,5.489615563537693,15.784856509123626,8.0,1.0
58,21.21929624801739,41.80697120626459,61.17627192374929,8.0,1.0
59,7.121346572424374,2.1034873795174756,34.04124622437169,8.0,1.0
60,5.368394268574903,65.08785055755497,21.295052720512764,8.0,1.0
61,28.0809108493604,1.0451499397258164,97.39228072575362,8.0,1.0
62,14.938199667252281,24.968427184670766,25.432374655687532,8.0,1.0
63,2.909592142214068,3.587176465525095,44.949229243101975,8.0,1.0
64,2.8150211831209533,15.396891159866842,26.623836440858266,8.0,1.0
65,15.45937928928989,6.670646235714002,48.47639183543057,8.0,1.0
66,28.483618274932418,40.12598037727061,19.747940565041937,8.0,1.0
67,5.28587748847205,1.9440612836402775,93.0228575340962,8.0,1.0
68,6.877352078142211,77.74346648232864,58.60104267356624,8.0,1.0
69,21.946299246499702,1.2971248895189569,31.652290443406418,8.0,1.0
70,11.68008410345005,22.685959729924694,78.64455350433452,8.0,1.0
71,3.7347819671324203,3.38429046451691,16.480400546524475,8.0,1.0
72,4.535359343278541,26.953490251852504,66.13609837606718,8.0,1.0
73,9.62123856116139,2.3170556883767253,18.33294804743991,8.0,1.0
74,18.075135413586313,10.341042340469091,49.189369264411994,8.0,1.0
75,8.352807213829848,7.949436638801538,35.27554207431861,8.0,1.0
76,5.939297232431815,15.902755763800021,21.845992264693137,8.0,1.0
77,25.357631409514813,3.998694202337669,79.83824168867427,8.0,1.0
78,13.760711646529524,54.505108850111576,29.397945773280018,8.0,1.0
79,3.163474369999794,1.5328174403816426,41.68263744103501,8.0,1.0
80,2.929408227260138,52.03497039409946,17.647831747194893,8.0,1.0
81,12.753031910387438,1.5009838965875941,65.44423297153723,8.0,1.0
82,23.483887651418573,19.938182966475516,38.04533182183817,8.0,1.0
83,5.504219063141427,5.145240867278465,54.76272944401177,8.0,1.0
84,7.72123791069301,10.11545202040822,88.41203555752418,8.0,1.0
85,16.699693381112255,7.581058205621396,23.447015499723385,8.0,1.0
86,8.89349629723252,34.71899535300126,40.818996338006876,8.0,1.0
87,4.190668846605161,2.9081331125165253,27.992960425498264,8.0,1.0
88,3.450454020256046,23.76369225797848,43.83693538863491,8.0,1.0
89,10.798119586110374,3.4561842496400796,24.748120297923204,8.0,1.0
90,20.273062121054792,62.01054904397655,94.77253420936468,8.0,1.0
91,6.358352275017049,1.0081128057008368,20.767667309316323,8.0,1.0
92,4.897889202377191,41.022255426678385,32.95691406248965,8.0,1.0
93,26.383067282558795,2.0385967881331317,59.13905587747329,8.0,1.0
94,14.325310740381784,11.95351846930903,15.259115694005603,8.0,1.0
95,2.607100838871509,5.315020733474827,70.80563715699101,8.0,1.0
96,2.5626995039685467,36.04732123267753,51.99961687904782,8.0,1.0
97,14.489749866048843,1.7307316860792608,35.67265950099553,8.0,1.0
98,26.73055219200059,13.815921950391704,69.918414511389,8.0,1.0
99,4.81811347595061,5.931215732753372,18.536157104501015,8.0,1.0
100,6.791209572931716,20.51912070510728,29.950081263219445,8.0,1.0
101,19.102180139301648,3.0892621196607477,43.09511713662354,8.0,1.0
102,10.154455062605608,70.40832170806846,22.252393346314044,8.0,1.0
103,3.6836650387791043,1.185372673362503,82.54858228634835,8.0,1.0
104,4.137772380245396,11.494567653980345,19.383629375977467,8.0,1.0
105,9.037299918034954,8.906921030266872,89.97513384013963,8.0,1.0
106,16.998095906930356,29.986631910550237,26.13718499840856,8.0,1.0
107,7.62953959334025,2.5986964206255814,46.88549551879146,8.0,1.0
108,5.8491402522666105,60.09391656174766,74.39556257521046,8.0,1.0
109,22.012097345274928,1.6763427235367756,16.29666377504287,8.0,1.0
110,11.930254624201023,17.515532344492247,55.43162997365836,8.0,1.0
111,3.1115541663857265,4.369389285379839,31.304909134285854,8.0,1.0
112,3.373716204637256,17.74882369125535,99.45165057818633,8.0,1.0
113,12.9463125333084,4.622327670353715,20.84307657901894,8.0,1.0
114,23.867812038405276,46.26769815902353,45.9985351457799,8.0,1.0
115,6.346500383570153,1.3467474490596514,24.84232833618977,8.0,1.0
116,8.21803163474754,31.68860029002212,15.658832885735299,8.0,1.0
117,18.299278400360013,2.630493062572114,73.75274801661864,8.0,1.0
118,9.733187807432415,9.244440047528244,33.82603255647267,8.0,1.0
119,4.4547292902270295,6.864985233794353,61.597139754391925,8.0,1.0
120,3.9652084085576793,69.48060360430657,37.07478353311089,8.0,1.0
121,10.938100193877546,1.1204713056103324,52.57356764596313,8.0,1.0
122,20.56155822867193,26.649998360703556,17.194602422805524,8.0,1.0
123,7.316059754630975,3.8451849032362317,62.83186083179374,8.0,1.0
124,5.227074987130291,13.073453323153927,38.89798700006152,8.0,1.0
125,28.98809339180514,5.859329652089231,27.89204926603938,8.0,1.0
126,15.721300167763536,44.81989600782615,84.25597359270044,8.0,1.0
127,2.7790581676492914,2.2454509029097283,23.35846876622229,8.0,1.0
